/project/p_gnn001/code/gnn_clean_code/simple_code_mlp2.py:50: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  data = [torch.tensor(d, dtype=torch.float32) for d in data]
GenAggModel
Epoch 871/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 881/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 891/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 901/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 911/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 921/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 931/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 941/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 951/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 961/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 971/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 981/1000, Train Loss: 0.4761, Val Loss: 0.4863
Epoch 991/1000, Train Loss: 0.4761, Val Loss: 0.4863
train_loss :  0.4760792112350464
Test Loss: 0.3448
GenAggModel
Epoch 1/1000, Train Loss: 49.8785, Val Loss: 49.3184
Epoch 11/1000, Train Loss: 6.2461, Val Loss: 5.8901
Epoch 21/1000, Train Loss: 4.4868, Val Loss: 4.2149
Epoch 31/1000, Train Loss: 3.2532, Val Loss: 3.0744
Epoch 41/1000, Train Loss: 2.6865, Val Loss: 2.5630
Epoch 51/1000, Train Loss: 2.4721, Val Loss: 2.3663
Epoch 61/1000, Train Loss: 2.3956, Val Loss: 2.2956
Epoch 71/1000, Train Loss: 2.3688, Val Loss: 2.2712
Epoch 81/1000, Train Loss: 2.3596, Val Loss: 2.2628
Epoch 91/1000, Train Loss: 2.3563, Val Loss: 2.2599
Epoch 101/1000, Train Loss: 2.3555, Val Loss: 2.2591
Epoch 111/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 121/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 131/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 141/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 151/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 161/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 171/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 181/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 191/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 201/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 211/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 221/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 231/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 241/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 251/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 261/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 271/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 281/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 291/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 301/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 311/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 321/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 331/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 341/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 351/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 361/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 371/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 381/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 391/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 401/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 411/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 421/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 431/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 441/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 451/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 461/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 471/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 481/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 491/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 501/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 511/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 521/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 531/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 541/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 551/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 561/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 571/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 581/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 591/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 601/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 611/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 621/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 631/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 641/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 651/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 661/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 671/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 681/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 691/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 701/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 711/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 721/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 731/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 741/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 751/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 761/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 771/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 781/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 791/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 801/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 811/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 821/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 831/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 841/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 851/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 861/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 871/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 881/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 891/1000, Train Loss: 2.3554, Val Loss: 2.2590
Epoch 901/1000, Train Loss: 2.3554, Val Loss: 2.2590
